timestamp,iface,carrier,speed_mbps,temp_c,frame_err_ppm,length_err_ppm,rx_err_ppm,speed_change_count_10m,speed_is_downgraded,has_phy_stats,phy_receive_errors_rate,phy_idle_errors_rate,phy_serdes_ber_errors_rate,phy_false_carrier_sense_errors_rate,phy_local_rcvr_nok_rate,phy_remote_rcv_nok_rate,phy_receive_errors_copper,phy_idle_errors,link_flap,time_since_last_link_down,fcs_rate,fcs_per_million_pkts,rx_error_rate,tx_error_rate,bad_octets_rate,fragment_rate,jabber_rate,oversize_rate,undersize_rate,port_discards_rate,host_rx_drop_rate,host_tx_drop_rate,tx_dropped_rate,host_rx_crc_rate,rx_bps,tx_bps,pps,utilization,mean_fcs_per_million,max_fcs_per_million,mean_phy_rxerr,max_phy_rxerr,mean_discards,max_discards,flaps_10m,flaps_1h,mean_utilization,mean_temp,temp_delta_10m,temp_slope_10m,Label
1777198886.3087785,eth0,1,100,32.55,1000000.0,0.0,0.0,0,0,1,0.0,,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,458.7057091801624,0.1657173804841627,4.5870570918016235e-06,333333.3333333333,1000000.0,0.0,0.0,0.0,0.0,0,0,4.441842361890865e-06,32.824999999999996,-1.1000000000000014,-0.0018333333333333357,frame errors
1777198886.3087785,eth0,1,100,32.55,1000000.0,0.0,0.0,0,0,1,0.0,,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,458.7057091801624,0.1657173804841627,4.5870570918016235e-06,333333.3333333333,1000000.0,0.0,0.0,0.0,0.0,0,0,4.441842361890865e-06,32.824999999999996,-1.1000000000000014,-0.0018333333333333357,frame errors
1777198886.3087785,eth0,1,100,32.55,1000000.0,0.0,0.0,0,0,1,0.0,,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,458.7057091801624,0.1657173804841627,4.5870570918016235e-06,333333.3333333333,1000000.0,0.0,0.0,0.0,0.0,0,0,4.441842361890865e-06,32.824999999999996,-1.1000000000000014,-0.0018333333333333357,frame errors
1777198886.3087785,eth0,1,100,32.55,1000000.0,0.0,0.0,0,0,1,0.0,,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,458.7057091801624,0.1657173804841627,4.5870570918016235e-06,333333.3333333333,1000000.0,0.0,0.0,0.0,0.0,0,0,4.441842361890865e-06,32.824999999999996,-1.1000000000000014,-0.0018333333333333357,frame errors
1777198946.6523242,eth0,1,100,33.1,0.0,1000000.0,0.0,0,0,1,0.0,,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,458.70688721130756,0.16571780607344927,4.587068872113076e-06,250000.0,1000000.0,0.0,0.0,0.0,0.0,0,0,4.478148989446418e-06,32.879999999999995,-0.5499999999999972,-0.0009166666666666619,length error
1777198946.6523242,eth0,1,100,33.1,0.0,1000000.0,0.0,0,0,1,0.0,,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,458.70688721130756,0.16571780607344927,4.587068872113076e-06,250000.0,1000000.0,0.0,0.0,0.0,0.0,0,0,4.478148989446418e-06,32.879999999999995,-0.5499999999999972,-0.0009166666666666619,length error
1777198946.6523242,eth0,1,100,33.1,0.0,1000000.0,0.0,0,0,1,0.0,,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,458.70688721130756,0.16571780607344927,4.587068872113076e-06,250000.0,1000000.0,0.0,0.0,0.0,0.0,0,0,4.478148989446418e-06,32.879999999999995,-0.5499999999999972,-0.0009166666666666619,length error
1777198946.6523242,eth0,1,100,33.1,0.0,1000000.0,0.0,0,0,1,0.0,,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,458.70688721130756,0.16571780607344927,4.587068872113076e-06,250000.0,1000000.0,0.0,0.0,0.0,0.0,0,0,4.478148989446418e-06,32.879999999999995,-0.5499999999999972,-0.0009166666666666619,length error
1777198946.6523242,eth0,1,100,33.1,0.0,1000000.0,0.0,0,0,1,0.0,,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,458.70688721130756,0.16571780607344927,4.587068872113076e-06,250000.0,1000000.0,0.0,0.0,0.0,0.0,0,0,4.478148989446418e-06,32.879999999999995,-0.5499999999999972,-0.0009166666666666619,length error
1777198946.6523242,eth0,1,100,33.1,0.0,1000000.0,0.0,0,0,1,0.0,,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,458.70688721130756,0.16571780607344927,4.587068872113076e-06,250000.0,1000000.0,0.0,0.0,0.0,0.0,0,0,4.478148989446418e-06,32.879999999999995,-0.5499999999999972,-0.0009166666666666619,length error
1777198946.6523242,eth0,1,100,33.1,0.0,1000000.0,0.0,0,0,1,0.0,,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,458.70688721130756,0.16571780607344927,4.587068872113076e-06,250000.0,1000000.0,0.0,0.0,0.0,0.0,0,0,4.478148989446418e-06,32.879999999999995,-0.5499999999999972,-0.0009166666666666619,length error
1777198946.6523242,eth0,1,100,33.1,0.0,1000000.0,0.0,0,0,1,0.0,,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,458.70688721130756,0.16571780607344927,4.587068872113076e-06,250000.0,1000000.0,0.0,0.0,0.0,0.0,0,0,4.478148989446418e-06,32.879999999999995,-0.5499999999999972,-0.0009166666666666619,length error
