timestamp,iface,carrier,speed_mbps,temp_c,frame_err_ppm,length_err_ppm,rx_err_ppm,speed_change_count_10m,speed_is_downgraded,has_phy_stats,phy_receive_errors_rate,phy_idle_errors_rate,phy_serdes_ber_errors_rate,phy_false_carrier_sense_errors_rate,phy_local_rcvr_nok_rate,phy_remote_rcv_nok_rate,phy_receive_errors_copper,phy_idle_errors,link_flap,time_since_last_link_down,fcs_rate,fcs_per_million_pkts,rx_error_rate,tx_error_rate,bad_octets_rate,fragment_rate,jabber_rate,oversize_rate,undersize_rate,port_discards_rate,host_rx_drop_rate,host_tx_drop_rate,tx_dropped_rate,host_rx_crc_rate,rx_bps,tx_bps,pps,utilization,mean_fcs_per_million,max_fcs_per_million,mean_phy_rxerr,max_phy_rxerr,mean_discards,max_discards,flaps_10m,flaps_1h,mean_utilization,mean_temp,temp_delta_10m,temp_slope_10m
1777473554.6419551,eth0,1,100,28.7,0,0,0,0,0,1,0,,0,0,0,0,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,461.2746389051794,0.166645462032218,4.612746389051794E-06,0,0,0,0,0,0,0,0,4.566607476283652E-06,29.8,-1.1000000000000014,-0.0018333333333333357
1777473614.6506202,eth0,1,100,30.35,0,0,0,0,0,1,0,,0,0,0,0,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,461.2667180792416,0.16664260046215376,4.612667180792416E-06,0,0,0,0,0,0,0,0,4.566600310531981E-06,29.855,-0.5499999999999972,-0.0009166666666666619
1777473674.6583426,eth0,1,100,30.35,0,0,0,0,0,1,0,,0,0,0,0,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,461.2739644697937,0.16664521837781565,4.6127396446979375E-06,0,0,0,0,0,0,0,0,4.566600702729913E-06,29.8,0,0
1777473734.6663458,eth0,1,100,29.8,0,0,0,0,0,1,0,,0,0,0,0,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,415.1446250010648,0.14997999458130953,4.1514462500106485E-06,0,0,0,0,0,0,0,0,4.520470826278822E-06,29.745,0.5500000000000007,0.0009166666666666678
1777473794.6743348,eth0,1,100,29.8,0,0,0,0,0,1,0,,0,0,0,0,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,461.2719155178659,0.16664447814951805,4.61271915517866E-06,0,0,0,0,0,0,0,0,4.52046962953183E-06,29.8,0.5500000000000007,0.0009166666666666678
1777473854.6820607,eth0,1,100,29.8,0,0,0,0,0,1,0,,0,0,0,0,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,461.27393697926277,0.16664520844626546,4.612739369792628E-06,0,0,0,0,0,0,0,0,4.520471632666367E-06,29.855,-1.0999999999999979,-0.0018333333333333298
1777473914.6898339,eth0,1,100,30.35,0,0,0,0,0,1,0,,0,0,0,0,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,461.2735741045613,0.16664507734991377,4.612735741045613E-06,0,0,0,0,0,0,0,0,4.5204720102020666E-06,29.8,0.5500000000000007,0.0009166666666666678
1777473974.6978483,eth0,1,100,30.9,0,0,0,0,0,1,0,,0,0,0,0,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,461.2717194205589,0.1666444073051152,4.612717194205589E-06,0,0,0,0,0,0,0,0,4.566598022601506E-06,29.91,2.1999999999999993,0.0036666666666666653
1777474034.705811,eth0,1,100,28.7,0,0,0,0,0,1,0,,0,0,0,0,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,461.2721171134021,0.1666445509802753,4.612721171134021E-06,0,0,0,0,0,0,0,0,4.566597850328817E-06,29.91,-1.6500000000000021,-0.0027500000000000037
1777474094.7133653,eth0,1,100,29.25,0,0,0,0,0,1,0,,0,0,0,0,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,461.2752565284447,0.16664568516201037,4.612752565284447E-06,0,0,0,0,0,0,0,0,4.5665984661193755E-06,29.8,0.5500000000000007,0.0009166666666666678
