timestamp,iface,carrier,speed_mbps,temp_c,frame_err_ppm,length_err_ppm,rx_err_ppm,speed_change_count_10m,speed_is_downgraded,has_phy_stats,phy_receive_errors_rate,phy_idle_errors_rate,phy_serdes_ber_errors_rate,phy_false_carrier_sense_errors_rate,phy_local_rcvr_nok_rate,phy_remote_rcv_nok_rate,phy_receive_errors_copper,phy_idle_errors,link_flap,time_since_last_link_down,fcs_rate,fcs_per_million_pkts,rx_error_rate,tx_error_rate,bad_octets_rate,fragment_rate,jabber_rate,oversize_rate,undersize_rate,port_discards_rate,host_rx_drop_rate,host_tx_drop_rate,tx_dropped_rate,host_rx_crc_rate,rx_bps,tx_bps,pps,utilization,mean_fcs_per_million,max_fcs_per_million,mean_phy_rxerr,max_phy_rxerr,mean_discards,max_discards,flaps_10m_mean,flaps_1h_mean,mean_utilization,mean_temp,temp_delta_10m,temp_slope_10m
165609.087282478,eth0,1,100,27.05,0.0,0.0,0.0,0,0,1,0.0,,0.0,0.0,0.0,0.0,,,0,5820.685077251983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,461.28128428298703,0.1666478628189982,4.61281284282987e-06,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4.566661413225943e-06,28.095,-0.5500000000000007,-0.0009166666666666678
165669.095751887,eth0,1,100,28.15,0.0,0.0,0.0,0,0,1,0.0,,0.0,0.0,0.0,0.0,,,0,5880.693546661001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,461.2682221793204,0.16664314385091056,4.612682221793204e-06,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4.566649356000298e-06,28.15,-0.5500000000000007,-0.0009166666666666678
165729.103980685,eth0,1,100,28.7,0.0,0.0,0.0,0,0,1,0.0,,0.0,0.0,0.0,0.0,,,0,5940.701775458991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,461.27007169602405,0.16664381202891043,4.61270071696024e-06,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4.566637879205746e-06,28.15,0.0,0.0
165789.110847482,eth0,1,100,28.15,0.0,0.0,0.0,0,0,1,0.0,,0.0,0.0,0.0,0.0,,,0,6000.7086422559805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,415.1524872025086,0.14998283497200457,4.151524872025086e-06,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4.520509732265431e-06,28.095,0.0,0.0
165849.117822743,eth0,1,100,28.15,0.0,0.0,0.0,0,0,1,0.0,,0.0,0.0,0.0,0.0,,,0,6060.71561751698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,461.27970756076456,0.16664729319391783,4.612797075607646e-06,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4.520524216300688e-06,28.095,0.5499999999999972,0.0009166666666666619
165909.124668429,eth0,1,100,28.7,0.0,0.0,0.0,0,0,1,0.0,,0.0,0.0,0.0,0.0,,,0,6120.722463202983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,461.28070361906583,0.16664765304157003,4.6128070361906585e-06,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4.5205254771333985e-06,28.205,0.5500000000000007,0.0009166666666666678
165969.131577468,eth0,1,100,28.7,0.0,0.0,0.0,0,0,1,0.0,,0.0,0.0,0.0,0.0,,,0,6180.729372242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,461.28021661642674,0.16664747710131025,4.612802166164267e-06,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4.52052618263283e-06,28.259999999999998,0.5500000000000007,0.0009166666666666678
166029.138546673,eth0,1,100,28.7,0.0,0.0,0.0,0,0,1,0.0,,0.0,0.0,0.0,0.0,,,0,6240.736341446987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,461.27975411395073,0.16664731001226543,4.612797541139508e-06,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4.56665341917952e-06,28.314999999999998,0.0,0.0
166089.145287433,eth0,1,100,28.7,0.0,0.0,0.0,0,0,1,0.0,,0.0,0.0,0.0,0.0,,,0,6300.743082206987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,461.28151020078866,0.1666479444367011,4.612815102007887e-06,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4.566654238867728e-06,28.314999999999998,0.5500000000000007,0.0009166666666666678
166149.152322286,eth0,1,100,28.15,0.0,0.0,0.0,0,0,1,0.0,,0.0,0.0,0.0,0.0,,,0,6360.750117060001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,461.27924947136347,0.166647127699192,4.612792494713635e-06,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4.5666532069432e-06,28.314999999999998,1.0999999999999979,0.0018333333333333298
166209.159131824,eth0,1,100,28.7,0.0,0.0,0.0,0,0,1,0.0,,0.0,0.0,0.0,0.0,,,0,6420.756926597998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,461.2809814938168,0.1666477534298471,4.612809814938168e-06,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4.56665290415403e-06,28.48,0.5500000000000007,0.0009166666666666678
166269.166001474,eth0,1,100,28.7,0.0,0.0,0.0,0,0,1,0.0,,0.0,0.0,0.0,0.0,,,0,6480.7637962479785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,476.2121431543367,0.31663041433134087,4.762121431543367e-06,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4.5815968251290464e-06,28.535,0.0,0.0
166329.172957901,eth0,1,100,27.6,0.0,0.0,0.0,0,0,1,0.0,,0.0,0.0,0.0,0.0,,,0,6540.770752674987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,461.27985233960914,0.1666473454984137,4.612798523396091e-06,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4.581606605772631e-06,28.425,-0.5499999999999972,-0.0009166666666666619
166389.180096125,eth0,1,100,28.15,0.0,0.0,0.0,0,0,1,0.0,,0.0,0.0,0.0,0.0,,,0,6600.777890898986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20233384.55947945,479757.0564444375,2522.6832087029843,0.20713141615923886,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.020717308070042455,28.425,0.0,0.0
166449.187270033,eth0,1,100,30.35,0.0,0.0,0.0,0,0,1,0.0,,0.0,0.0,0.0,0.0,,,0,6660.785064806987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98697675.73257257,2332982.923252334,12292.680224049725,1.010306586558249,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.1217475054461598,28.645,1.6500000000000021,0.0027500000000000037
166509.195009053,eth0,1,100,32.0,0.0,0.0,0.0,0,0,1,0.0,,0.0,0.0,0.0,0.0,,,0,6720.792803826975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98697159.54515928,2333006.813560643,12292.69777610348,1.0103016635871993,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.2227772105241761,28.975,3.3000000000000007,0.005500000000000001
166569.202492388,eth0,1,100,31.45,0.0,0.0,0.0,0,0,1,0.0,,0.0,0.0,0.0,0.0,,,0,6780.800287161983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98697782.4571552,2332960.7612177157,12292.666830932676,1.010307432183729,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.3238074924623324,29.25,2.75,0.004583333333333333
166629.210214704,eth0,1,100,31.45,0.0,0.0,0.0,0,0,1,0.0,,0.0,0.0,0.0,0.0,,,0,6840.808009478002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98696368.99081247,2332970.9343530387,12292.551217247059,1.010293399251655,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.4248363711077438,29.525,2.75,0.004583333333333333
166689.218536705,eth0,1,100,30.35,0.0,0.0,0.0,0,0,1,0.0,,0.0,0.0,0.0,0.0,,,0,6900.816331479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78422752.8962018,1854073.6399552894,9767.89519277424,0.8027682653615709,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.5051127363623906,29.69,2.200000000000003,0.0036666666666666714
166749.225298817,eth0,1,100,30.35,0.0,0.0,0.0,0,0,1,0.0,,0.0,0.0,0.0,0.0,,,0,6960.823093590996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,461.28134606460355,0.16664788513894638,4.612813460646036e-06,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.5051127363644873,29.91,1.6500000000000021,0.0027500000000000037
166809.232206245,eth0,1,100,30.35,0.0,0.0,0.0,0,0,1,0.0,,0.0,0.0,0.0,0.0,,,0,7020.830001019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86289619.61108463,2095707.0009129087,10847.534523937653,0.8838532661199753,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.5934976016955033,30.075,1.6500000000000021,0.0027500000000000037
166869.239862561,eth0,1,100,32.0,0.0,0.0,0.0,0,0,1,0.0,,0.0,0.0,0.0,0.0,,,0,7080.8376573349815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98696477.5430272,2403791.663524491,12417.048852507047,1.011002692065517,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.6945973946899119,30.405,4.399999999999999,0.007333333333333331
166929.247523062,eth0,1,100,33.1,0.0,0.0,0.0,0,0,1,0.0,,0.0,0.0,0.0,0.0,,,0,7140.845317835978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98696883.94037075,2438106.5813684063,12442.378085837956,1.0113499052173915,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.7957319239317987,30.955000000000002,4.950000000000003,0.008250000000000006
166989.255634045,eth0,1,100,32.0,0.0,0.0,0.0,0,0,1,0.0,,0.0,0.0,0.0,0.0,,,0,7200.853428818984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98697146.35205299,2422255.4854486813,12451.883383091412,1.0111940183750168,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.8761381841533764,31.34,1.6499999999999986,0.0027499999999999977
167049.263988731,eth0,1,100,30.9,0.0,0.0,0.0,0,0,1,0.0,,0.0,0.0,0.0,0.0,,,0,7260.861783504981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98697361.17564426,2389843.4934671726,12394.274162186926,1.0108720466911143,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.8761947301666629,31.395,-1.1000000000000014,-0.0018333333333333357
167109.271857955,eth0,1,100,31.45,0.0,0.0,0.0,0,0,1,0.0,,0.0,0.0,0.0,0.0,,,0,7320.869652728987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12353655.905239843,299817.34450258786,1551.9464564281548,0.1265347324974243,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.7878180370576855,31.34,0.0,0.0
167169.278571326,eth0,1,100,28.7,0.0,0.0,0.0,0,0,1,0.0,,0.0,0.0,0.0,0.0,,,0,7380.876366099983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,461.2817207445805,0.16664802050020974,4.612817207445805e-06,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.6867877551210333,31.065,-2.75,-0.004583333333333333
167229.285544865,eth0,1,100,28.7,0.0,0.0,0.0,0,0,1,0.0,,0.0,0.0,0.0,0.0,,,0,7440.883339638996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,461.27972079784865,0.1666472979761014,4.612797207978486e-06,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.5857588764755887,30.79,-1.6500000000000021,-0.0027500000000000037
